2.491101,	2.477155,	3.186821,
4.335007,	2.586838,	3.705355,
0.912620,	2.919520,	3.847648,
6.177788,	2.723989,	4.427148,
4.787040,	2.590978,	4.198379,
0.370036,	2.359765,	4.703053,
0.426061,	2.482354,	4.483990,
3.620811,	2.545034,	3.212505,
3.764689,	2.469526,	3.394315,
4.511824,	2.479921,	4.635786,
1.691941,	2.475652,	4.673636,
0.004287,	2.815623,	3.544165,
4.472096,	2.363106,	3.185547,
6.262556,	2.420676,	3.189361,
1.710763,	2.391777,	3.182700,
4.991958,	2.480544,	4.689628,
1.045979,	2.394428,	4.586699,
0.859180,	2.404020,	4.615693,
3.104833,	2.870124,	4.453880,
3.217485,	2.650672,	3.564983,
0.559593,	2.602530,	4.639055,
5.340390,	2.459364,	3.205353,
5.623147,	2.401002,	4.706909,
4.051689,	2.665706,	4.257310,
3.545488,	2.363305,	3.163598,
1.031945,	2.690046,	4.065682,
4.187553,	2.484186,	3.255226,
4.014573,	2.442477,	3.234282,
0.518970,	2.360114,	3.207837,
2.414907,	2.387609,	4.676690,
2.002467,	2.530455,	3.160255,
2.952587,	2.421416,	3.383485,
5.297011,	2.778718,	3.704325,
0.339083,	2.862361,	4.198442,
0.161638,	2.541903,	4.470930,
0.249690,	2.438914,	4.398109,
0.864153,	2.744923,	4.444148,
0.675226,	2.437270,	4.659003,
4.045212,	2.423849,	4.577227,
6.265900,	2.716633,	3.824886,
1.096332,	2.657007,	3.259802,
5.188529,	2.436974,	4.466765,
3.650152,	2.362198,	4.644965,
1.392134,	2.727552,	4.541486,
0.873237,	2.758325,	3.151984,
3.834541,	2.610564,	4.241042,
1.130235,	2.389466,	4.615740,
5.015155,	2.475338,	3.349393,
1.884050,	2.680168,	3.753687,
4.163109,	2.571886,	3.494681,
